,Brand,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor
91,Samsung,4000,6.4,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,15990,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,samsung,2.3,Yes,6,Yes,25,LED,25,430,74.5,158.5,166,Yes,No,Yes,February,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
92,Samsung,4000,6.4,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,14999,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,samsung,2.3,Yes,4,Yes,25,LED,25,430,74.5,158.5,166,Yes,No,Yes,February,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
93,Samsung,4000,6.4,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,15990,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,samsung,2.3,Yes,6,Yes,25,LED,25,430,74.5,158.5,166,Yes,No,Yes,February,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
95,Realme,3500,6.3,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,256,8999,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,qualcomm,2.2,Yes,4,No,16,LED,16,409,74,156.7,174,No,No,Yes,September,2018,2,1080,2340,1,1,1,0,0,0,1,1,0,0
96,Realme,3500,6.3,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,256,12999,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,qualcomm,2.2,Yes,8,No,16,LED,16,409,74,156.7,174,No,No,Yes,September,2018,2,1080,2340,1,1,1,0,0,0,1,1,0,0
97,Xiaomi,4500,6.53,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,15999,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,mediatek,2.05,Yes,6,Yes,64,LED,20,403,76.4,161.7,200,Yes,No,Yes,August,2019,4,1080,2340,1,1,1,0,0,0,1,1,0,0
98,Xiaomi,4500,6.53,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,17999,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,mediatek,2.05,Yes,8,Yes,64,LED,20,403,76.4,161.7,200,Yes,No,Yes,August,2019,4,1080,2340,1,1,1,0,0,0,1,1,0,0
99,Xiaomi,4500,6.53,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,14875,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,mediatek,2.05,Yes,6,Yes,64,LED,20,403,76.4,161.7,200,Yes,No,Yes,August,2019,4,1080,2340,1,1,1,0,0,0,1,1,0,0
100,Xiaomi,4500,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,15999,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,mediatek,2.05,Yes,6,Yes,64,LED,20,403,76.4,161.7,200,Yes,No,Yes,August,2019,4,1080,2340,1,1,1,0,0,0,1,1,0,0
101,Xiaomi,4500,6.53,Yes,128,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,17999,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,mediatek,2.05,Yes,8,Yes,64,LED,20,403,76.4,161.7,200,Yes,No,Yes,August,2019,4,1080,2340,1,1,1,0,0,0,1,1,0,0
