,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor,Manufacturer,Brand__Apple,Brand__Coolpad,Brand__Google,Brand__Huawei,Brand__Infinix,Brand__LG,Brand__Lenovo,Brand__Micromax,Brand__Motorola,Brand__Nokia,Brand__OnePlus,Brand__Oppo,Brand__Realme,Brand__Samsung,Brand__Tecno,Brand__Vivo,Brand__Xiaomi,logPrice
343,4045,6.3,1,128,1,1,1,0,0,2.0,1,1,0,256,12999,1,1,1,1,1,2,1,0,2,3,2.2,1,6.0,1,16.0,1,25.0,409,74.2,156.8,172.0,1,0,1,0,5,2,1080,2340,1,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.47262771040802
344,4045,6.3,1,128,1,1,1,0,0,2.0,1,1,0,256,11499,1,1,1,1,1,2,1,0,2,3,2.2,1,4.0,1,16.0,1,25.0,409,74.2,156.8,172.0,1,0,1,0,5,2,1080,2340,1,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.350015354048665
345,4000,6.19,1,64,1,1,1,0,0,2.0,1,1,0,256,7999,1,1,1,1,0,2,1,0,2,2,2.39,1,4.0,1,13.0,0,13.0,271,74.8,153.9,159.0,0,0,1,5,5,2,1500,720,1,1,1,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.987071812848821
346,4000,6.19,1,32,1,1,1,0,0,2.0,1,1,0,128,6690,1,1,1,1,1,2,1,0,2,2,2.0,1,3.0,1,13.0,1,16.0,269,76.2,156.0,164.0,0,0,1,2,4,2,1500,720,1,0,1,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.808369153122275
347,4000,6.22,0,64,1,1,1,0,0,2.0,1,0,0,128,6999,1,1,1,1,1,1,1,0,2,2,2.0,1,4.0,1,13.0,1,16.0,295,76.0,157.0,145.0,1,0,1,10,5,2,720,1520,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85352256068954
348,4000,6.2,1,32,1,1,0,0,0,2.0,1,1,0,400,8150,1,1,1,1,1,2,1,0,3,2,2.0,1,2.0,1,13.0,1,5.0,295,75.41,157.69,183.0,0,0,1,2,5,2,720,1520,1,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.005773206234908
349,2600,5.0,1,16,1,0,0,0,0,2.0,1,1,0,256,5290,1,1,1,1,0,2,1,0,2,5,1.6,1,1.0,1,8.0,1,5.0,220,75.2,159.2,191.0,0,0,1,0,5,1,540,960,0,0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.573573524852344
350,4000,6.19,1,32,1,1,1,0,0,2.0,1,1,0,128,5961,1,1,1,1,1,2,1,0,2,2,2.0,1,2.0,1,13.0,1,8.0,269,75.2,159.2,191.0,0,0,1,2,4,2,1500,720,1,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.692993531219926
351,4000,6.26,1,32,1,1,1,0,0,2.0,1,0,0,400,7899,1,1,1,1,1,2,1,0,3,3,1.8,1,3.0,1,13.0,1,5.0,269,76.24,159.44,181.0,0,0,1,3,5,1,720,1520,1,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.97449144816442
352,4000,6.26,1,16,1,1,1,0,0,2.0,1,0,0,400,7899,1,1,1,1,1,2,1,0,3,3,1.8,1,3.0,1,13.0,1,5.0,269,76.24,159.44,181.0,0,0,1,3,5,1,720,1520,1,0,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.97449144816442
353,4000,6.39,1,128,1,1,1,0,0,2.0,1,1,0,1000,33999,1,1,1,1,1,1,1,0,2,3,2.8,1,8.0,1,48.0,0,32.0,403,74.6,157.5,185.0,1,0,1,0,5,4,1080,2340,1,1,1,0,0,0,1,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.434086391401058
354,3500,6.2,0,32,1,1,1,0,0,2.0,1,1,0,256,9599,1,0,0,1,1,2,1,0,3,2,2.0,1,4.0,1,13.0,1,16.0,269,75.8,156.9,140.0,0,0,1,7,5,3,1520,720,1,0,1,1,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.169414205363537
355,3500,6.2,0,64,1,1,1,0,0,2.0,1,1,0,256,9599,1,0,0,1,1,2,1,0,3,2,2.0,1,4.0,1,13.0,1,16.0,269,75.8,156.9,140.0,0,0,1,7,5,3,1520,720,1,0,1,1,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.169414205363537
356,3500,6.2,0,32,1,1,1,0,0,2.0,1,1,0,256,9599,1,0,0,1,1,2,1,0,3,2,2.0,1,4.0,1,13.0,1,16.0,269,75.8,156.9,140.0,0,0,1,7,5,3,1520,720,1,0,1,1,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.169414205363537
357,4050,6.22,1,64,1,1,1,0,0,2.0,1,1,0,512,12379,1,1,1,1,1,1,1,0,2,3,1.8,1,4.0,1,13.0,1,16.0,267,75.9,157.7,172.0,1,0,1,6,5,3,720,1520,1,1,1,0,0,0,1,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.42375676753181
